"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_pneumoniae_80442-17,FALSE,SAMN12212065,VNVT00000000, ,,,
Klebsiella_pneumoniae_805689,FALSE,SAMN12212066,VNVY00000000, ,,,
Klebsiella_pneumoniae_110686-17,FALSE,SAMN12212096,VNMO00000000, ,,,
Klebsiella_pneumoniae_110856-17,FALSE,SAMN12212097,VNMP00000000, ,,,
Klebsiella_pneumoniae_111684-17,FALSE,SAMN12212098,VNMQ00000000, ,,,
Klebsiella_pneumoniae_118559-17,TRUE,SAMN12212100,VNMS00000000, ,,,
Klebsiella_pneumoniae_118937-12,FALSE,SAMN12212101,VNMT00000000, ,,,
Klebsiella_pneumoniae_120669-12,FALSE,SAMN12212102,VNMU00000000, ,,,
Klebsiella_pneumoniae_124203-17,TRUE,SAMN12212103,VNMV00000000, ,,,
Klebsiella_pneumoniae_125929-17,TRUE,SAMN12212104,VNMW00000000, ,,,
Klebsiella_pneumoniae_126458-17,TRUE,SAMN12212106,VNMY00000000, ,,,
Klebsiella_pneumoniae_128879-17,TRUE,SAMN12212108,VNNA00000000, ,,,
Klebsiella_pneumoniae_128918-17,FALSE,SAMN12212109,VNNB00000000, ,,,
Klebsiella_pneumoniae_129238-17,FALSE,SAMN12212110,VNNC00000000, ,,,
Klebsiella_pneumoniae_129282-17,TRUE,SAMN12212111,VNND00000000, ,,,
Klebsiella_pneumoniae_129496-17,TRUE,SAMN12212112,VNNE00000000, ,,,
Klebsiella_pneumoniae_130064-17,FALSE,SAMN12212113,VNNF00000000, ,,,
Klebsiella_pneumoniae_132027-17,TRUE,SAMN12212115,VNNH00000000, ,,,
Klebsiella_pneumoniae_132036-17,FALSE,SAMN12212116,VNNI00000000, ,,,
Klebsiella_pneumoniae_134152-17,TRUE,SAMN12212119,VNNL00000000, ,,,
