replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Core	148	769.19	384.532565461
pneumonia_group_Pan	148	33896.12	650.827370045
pneumonia_group_Core	149	767.06	383.796060949
pneumonia_group_Pan	149	33982.76	648.263837029
pneumonia_group_Core	150	764.4	382.209235891
pneumonia_group_Pan	150	34076.63	646.673513529
pneumonia_group_Core	151	759.97	379.345290072
pneumonia_group_Pan	151	34177.09	629.55411356
pneumonia_group_Core	152	757.23	377.850151647
pneumonia_group_Pan	152	34261.46	624.869193032
pneumonia_group_Core	153	754.67	375.912677493
pneumonia_group_Pan	153	34343.05	622.084646572
pneumonia_group_Core	154	737.27	378.20200568
pneumonia_group_Pan	154	34435.75	616.460564432
pneumonia_group_Core	155	725.35	375.208245512
pneumonia_group_Pan	155	34528.73	610.464050621
pneumonia_group_Core	156	724.33	374.614843673
pneumonia_group_Pan	156	34596.16	626.085772399
pneumonia_group_Core	157	721.94	373.326715358
pneumonia_group_Pan	157	34679.42	632.042675458
pneumonia_group_Core	158	719.64	372.11730731
pneumonia_group_Pan	158	34756.87	624.897314044
pneumonia_group_Core	159	710.81	374.329739535
pneumonia_group_Pan	159	34847.86	623.751312945
pneumonia_group_Core	160	708.77	373.286615217
pneumonia_group_Pan	160	34933.38	627.308006963
pneumonia_group_Core	161	706.15	372.422485223
pneumonia_group_Pan	161	35013.09	627.396080558
pneumonia_group_Core	162	704.11	371.212443083
pneumonia_group_Pan	162	35103.72	622.029807646
pneumonia_group_Core	163	702.94	370.578461867
pneumonia_group_Pan	163	35178.84	619.481100922
pneumonia_group_Core	164	699.67	368.690115273
pneumonia_group_Pan	164	35267.15	617.25018226
pneumonia_group_Core	165	697.31	367.362891294
pneumonia_group_Pan	165	35351.43	626.067923711
pneumonia_group_Core	166	695.13	366.149632118
pneumonia_group_Pan	166	35432.32	627.076293285
pneumonia_group_Core	167	691.67	364.422503559
pneumonia_group_Pan	167	35506.38	625.885880652
pneumonia_group_Core	168	682.95	366.002988376
pneumonia_group_Pan	168	35584.38	629.02107723
pneumonia_group_Core	169	681.7	365.069513929
pneumonia_group_Pan	169	35652.62	626.091379592
pneumonia_group_Core	170	680.15	364.164808157
pneumonia_group_Pan	170	35726.13	621.955362627
pneumonia_group_Core	171	678.54	363.13260443
pneumonia_group_Pan	171	35804.4	626.773324257
pneumonia_group_Core	172	661.07	362.355440279
pneumonia_group_Pan	172	35886.08	617.888398985
pneumonia_group_Core	173	658.69	360.924914491
pneumonia_group_Pan	173	35960.58	612.551812992
pneumonia_group_Core	174	657.46	360.726417663
pneumonia_group_Pan	174	36043.65	615.013664482
pneumonia_group_Core	175	655.08	359.296526006
pneumonia_group_Pan	175	36116.15	613.691215107
pneumonia_group_Core	176	645.44	358.121831784
pneumonia_group_Pan	176	36198.66	606.250974762
pneumonia_group_Core	177	643.85	357.229348598
pneumonia_group_Pan	177	36274.66	608.367277555
pneumonia_group_Core	178	641.78	355.986364346
pneumonia_group_Pan	178	36350.33	600.131769781
pneumonia_group_Core	179	640.06	355.217928039
pneumonia_group_Pan	179	36425.46	600.45465141
pneumonia_group_Core	180	639.23	354.695527319
pneumonia_group_Pan	180	36494.74	594.889832154
pneumonia_group_Core	181	637.34	354.450341233
pneumonia_group_Pan	181	36570.88	589.548493001
pneumonia_group_Core	182	629.46	355.417203298
pneumonia_group_Pan	182	36637.99	588.310351685
pneumonia_group_Core	183	627.82	354.597500837
pneumonia_group_Pan	183	36704.9	599.428619604
pneumonia_group_Core	184	626.37	353.6093227
pneumonia_group_Pan	184	36773.46	596.387397922
pneumonia_group_Core	185	625.39	353.210076159
pneumonia_group_Pan	185	36845.36	590.313366273
pneumonia_group_Core	186	616.44	352.357838568
pneumonia_group_Pan	186	36933.8	586.974684292
pneumonia_group_Core	187	614.76	351.750511585
pneumonia_group_Pan	187	37003.79	589.430781263
pneumonia_group_Core	188	612.83	350.315202496
pneumonia_group_Pan	188	37071.07	586.31161092
pneumonia_group_Core	189	611.16	349.582228381
pneumonia_group_Pan	189	37144.32	587.958686984
pneumonia_group_Core	190	607.61	347.077798051
pneumonia_group_Pan	190	37234.84	580.81170305
pneumonia_group_Core	191	598.26	344.908643557
pneumonia_group_Pan	191	37301.95	584.761359445
pneumonia_group_Core	192	596.94	343.864066747
pneumonia_group_Pan	192	37362.37	584.700584145
pneumonia_group_Core	193	596.28	343.496698092
pneumonia_group_Pan	193	37422.49	586.111806655
pneumonia_group_Core	194	595.01	342.44866754
pneumonia_group_Pan	194	37494.54	591.503210811
pneumonia_group_Core	195	592.91	341.104825384
pneumonia_group_Pan	195	37565.54	586.924465668
pneumonia_group_Core	196	591.6	340.338831167
pneumonia_group_Pan	196	37633.39	580.05190966
pneumonia_group_Core	197	589.48	338.70817764
pneumonia_group_Pan	197	37702.95	575.072523687
pneumonia_group_Core	198	587.8	337.643895251
pneumonia_group_Pan	198	37769.95	569.363387917
pneumonia_group_Core	199	579.94	337.228641132
pneumonia_group_Pan	199	37845.19	567.711752477
pneumonia_group_Core	200	577.94	335.671858219
pneumonia_group_Pan	200	37918.03	567.269009466
pneumonia_group_Core	201	575.49	333.640569925
pneumonia_group_Pan	201	37999.57	562.285874889
pneumonia_group_Core	202	566.08	331.221940095
pneumonia_group_Pan	202	38075.07	569.097254518
pneumonia_group_Core	203	564.71	330.35563549
pneumonia_group_Pan	203	38153.06	567.293871287
pneumonia_group_Core	204	556.44	328.737382115
pneumonia_group_Pan	204	38225.72	567.485349238
pneumonia_group_Core	205	554.78	328.191699468
pneumonia_group_Pan	205	38313.61	558.831368035
pneumonia_group_Core	206	553.78	327.875146359
pneumonia_group_Pan	206	38377.22	558.734526945
pneumonia_group_Core	207	552.99	327.225686492
pneumonia_group_Pan	207	38448.04	563.172831731
pneumonia_group_Core	208	552.3	327.009342374
pneumonia_group_Pan	208	38508.04	557.604643453
pneumonia_group_Core	209	550.93	326.034423183
pneumonia_group_Pan	209	38573.94	553.346904211
pneumonia_group_Core	210	544.2	326.5682777
pneumonia_group_Pan	210	38642.03	558.678896236
pneumonia_group_Core	211	542.93	325.74883745
pneumonia_group_Pan	211	38710.05	555.978549496
pneumonia_group_Core	212	527.88	322.94025082
pneumonia_group_Pan	212	38779.97	548.621170846
pneumonia_group_Core	213	525.74	321.305450312
pneumonia_group_Pan	213	38847.7	548.065643879
pneumonia_group_Core	214	524.68	321.216029488
pneumonia_group_Pan	214	38914.23	553.113891617
pneumonia_group_Core	215	510.49	319.058756188
pneumonia_group_Pan	215	38979.48	556.301653422
pneumonia_group_Core	216	509.45	318.272693614
pneumonia_group_Pan	216	39041.06	552.590713277
pneumonia_group_Core	217	508.43	317.67034029
pneumonia_group_Pan	217	39108.58	549.393978489
pneumonia_group_Core	218	507.79	317.458668018
pneumonia_group_Pan	218	39177.96	548.506735054
pneumonia_group_Core	219	506.56	316.356075333
pneumonia_group_Pan	219	39244.06	547.612943967
pneumonia_group_Core	220	505.25	315.744687208
pneumonia_group_Pan	220	39311.59	554.442478441
pneumonia_group_Core	221	504.4	315.091510517
pneumonia_group_Pan	221	39371.61	550.498644776
pneumonia_group_Core	222	503.66	314.545520394
pneumonia_group_Pan	222	39432.88	551.821570437
pneumonia_group_Core	223	502.25	313.971157115
pneumonia_group_Pan	223	39510.2	564.174972859
pneumonia_group_Core	224	501.09	313.192212387
pneumonia_group_Pan	224	39578.04	563.224625172
pneumonia_group_Core	225	500.27	312.693007757
pneumonia_group_Pan	225	39651.52	562.169306882
pneumonia_group_Core	226	499.26	312.025916231
pneumonia_group_Pan	226	39710.86	561.749090253
pneumonia_group_Core	227	498.24	311.430188646
pneumonia_group_Pan	227	39766.8	556.232397474
pneumonia_group_Core	228	496.39	309.984157498
pneumonia_group_Pan	228	39830.83	555.790716997
pneumonia_group_Core	229	494.68	308.137303162
pneumonia_group_Pan	229	39897.63	555.636061735
pneumonia_group_Core	230	493.1	307.034281474
pneumonia_group_Pan	230	39974.98	546.685247286
pneumonia_group_Core	231	491.25	305.748699915
pneumonia_group_Pan	231	40049.34	551.964948525
pneumonia_group_Core	232	484.12	305.079736462
pneumonia_group_Pan	232	40112.4	546.458269221
pneumonia_group_Core	233	481.13	302.058757695
pneumonia_group_Pan	233	40171.15	538.63901409
pneumonia_group_Core	234	480.09	301.377606832
pneumonia_group_Pan	234	40227.29	533.317171953
pneumonia_group_Core	235	479.06	300.573179775
pneumonia_group_Pan	235	40295.09	536.35244187
pneumonia_group_Core	236	477.63	300.056249893
pneumonia_group_Pan	236	40366.7	540.141268559
pneumonia_group_Core	237	476.78	299.423665731
pneumonia_group_Pan	237	40421.3	539.750470125
pneumonia_group_Core	238	475.97	299.317371865
pneumonia_group_Pan	238	40485.44	538.905359409
pneumonia_group_Core	239	475.28	299.230081376
pneumonia_group_Pan	239	40537.25	533.85689796
pneumonia_group_Core	240	473.77	297.665041784
pneumonia_group_Pan	240	40599.0	521.720020701
pneumonia_group_Core	241	472.15	296.348793654
