replicate	number_of_strains	number_of_orthologous_cluster	sd
all_Core	203	506.14	273.213067769
all_Pan	203	46561.07	785.283837284
all_Core	204	504.96	272.732980037
all_Pan	204	46634.18	782.862585388
all_Core	205	504.13	272.23429817
all_Pan	205	46727.52	770.751250145
all_Core	206	497.11	271.573411622
all_Pan	206	46807.61	773.008407393
all_Core	207	496.6	271.446716687
all_Pan	207	46884.56	771.27781402
all_Core	208	495.26	270.271035074
all_Pan	208	46964.83	766.464546538
all_Core	209	488.55	269.911295614
all_Pan	209	47050.96	760.141222669
all_Core	210	487.51	269.715201463
all_Pan	210	47128.79	759.262922774
all_Core	211	486.48	269.019571035
all_Pan	211	47215.32	743.36716204
all_Core	212	480.42	268.95108031
all_Pan	212	47299.36	733.427522254
all_Core	213	479.75	268.810207209
all_Pan	213	47381.99	727.831113583
all_Core	214	478.56	268.277741156
all_Pan	214	47467.3	722.616558072
all_Core	215	477.95	267.768122636
all_Pan	215	47551.18	711.760512813
all_Core	216	476.98	267.190904785
all_Pan	216	47625.71	710.161577319
all_Core	217	475.74	266.272102181
all_Pan	217	47705.01	716.083772962
all_Core	218	474.51	265.500677777
all_Pan	218	47788.07	716.702173221
all_Core	219	473.51	265.209973229
all_Pan	219	47871.73	712.171971577
all_Core	220	467.68	265.259528764
all_Pan	220	47957.96	710.057897921
all_Core	221	465.92	263.866810342
all_Pan	221	48042.16	710.016150802
all_Core	222	459.15	262.706847075
all_Pan	222	48127.44	708.067995605
all_Core	223	452.32	261.389168865
all_Pan	223	48211.37	698.187161942
all_Core	224	451.34	260.735506596
all_Pan	224	48288.9	695.000352518
all_Core	225	450.78	260.398063741
all_Pan	225	48362.42	696.935695455
all_Core	226	448.42	258.660711358
all_Pan	226	48440.54	686.151505427
all_Core	227	448.03	258.503247755
all_Pan	227	48515.48	685.363706071
all_Core	228	447.28	258.225021251
all_Pan	228	48586.61	677.520566404
all_Core	229	442.25	258.783398811
all_Pan	229	48663.9	676.388564362
all_Core	230	431.2	258.191827911
all_Pan	230	48744.86	677.243900231
all_Core	231	430.22	257.215263155
all_Pan	231	48819.21	674.236594898
all_Core	232	428.66	255.989813079
all_Pan	232	48901.53	659.271756638
all_Core	233	427.17	254.551136513
all_Pan	233	48986.96	649.193945135
all_Core	234	426.81	254.525075189
all_Pan	234	49065.68	654.616847935
all_Core	235	425.9	253.819955874
all_Pan	235	49143.76	656.139194379
all_Core	236	419.21	252.054807334
all_Pan	236	49221.14	658.239455214
all_Core	237	418.34	251.445788193
all_Pan	237	49298.52	667.184404494
all_Core	238	417.47	250.599938348
all_Pan	238	49369.29	670.11302472
all_Core	239	416.86	250.364255436
all_Pan	239	49445.04	669.664138505
all_Core	240	416.15	250.185985819
all_Pan	240	49517.68	670.513980167
all_Core	241	415.06	249.521575019
all_Pan	241	49592.87	666.139619825
all_Core	242	414.33	249.078985665
all_Pan	242	49667.66	662.559977964
all_Core	243	413.22	248.505033349
all_Pan	243	49741.75	670.135365057
all_Core	244	412.61	248.110334126
all_Pan	244	49814.1	670.443726199
all_Core	245	411.13	247.088795982
all_Pan	245	49897.9	669.73614954
all_Core	246	409.84	246.091109957
all_Pan	246	49978.13	661.550990552
all_Core	247	408.99	245.455841039
all_Pan	247	50050.74	657.272129639
all_Core	248	407.89	244.682565582
all_Pan	248	50128.39	645.88994256
all_Core	249	406.83	243.704864744
all_Pan	249	50205.64	643.393993133
all_Core	250	406.02	243.235564012
all_Pan	250	50283.21	646.736767085
all_Core	251	404.44	241.86724954
all_Pan	251	50349.36	651.973289637
all_Core	252	404.15	241.690768338
all_Pan	252	50427.19	658.500595216
all_Core	253	402.96	241.04995001
all_Pan	253	50507.43	658.156656959
all_Core	254	397.79	240.79403211
all_Pan	254	50577.08	655.912443547
all_Core	255	396.17	239.632178766
all_Pan	255	50657.8	660.595821967
all_Core	256	390.72	239.294884191
all_Pan	256	50735.18	655.786586932
all_Core	257	380.06	236.933147533
all_Pan	257	50819.61	649.923624667
all_Core	258	379.55	236.6127374
all_Pan	258	50888.99	646.357648597
all_Core	259	379.16	236.558353055
all_Pan	259	50960.35	642.537646757
all_Core	260	378.72	236.268706349
all_Pan	260	51038.49	629.864374211
all_Core	261	372.89	234.330061879
all_Pan	261	51123.22	620.971103676
all_Core	262	367.28	232.900969513
all_Pan	262	51201.43	622.047220957
all_Core	263	366.96	232.702768355
all_Pan	263	51275.91	622.538996289
all_Core	264	366.64	232.38001291
all_Pan	264	51347.62	626.431652776
all_Core	265	365.6	231.40531541
all_Pan	265	51419.64	631.685436273
all_Core	266	365.19	231.183939537
all_Pan	266	51494.0	622.125389291
all_Core	267	364.2	230.329155775
all_Pan	267	51569.66	635.056363168
all_Core	268	363.16	229.495303656
all_Pan	268	51642.73	629.975155939
all_Core	269	362.71	229.149614663
all_Pan	269	51715.2	631.768660191
all_Core	270	361.86	228.347017497
all_Pan	270	51786.49	624.586671247
all_Core	271	361.46	228.072375355
all_Pan	271	51862.54	630.392265498
all_Core	272	360.14	226.735838367
all_Pan	272	51927.08	624.533356675
all_Core	273	359.19	225.868753704
all_Pan	273	51992.5	625.42765369
all_Core	274	358.71	225.707257083
all_Pan	274	52056.27	624.951755818
all_Core	275	357.84	224.977675337
all_Pan	275	52127.22	621.422763986
all_Core	276	356.68	223.923195761
all_Pan	276	52202.71	608.738339437
all_Core	277	356.2	223.415308339
all_Pan	277	52279.1	611.585161691
all_Core	278	355.89	223.346542172
all_Pan	278	52352.39	606.008744079
all_Core	279	355.35	222.929332973
all_Pan	279	52421.79	604.84046318
all_Core	280	354.63	222.220910582
all_Pan	280	52489.99	605.987598801
all_Core	281	353.88	221.455832165
all_Pan	281	52560.44	610.683507555
all_Core	282	353.41	221.125579479
all_Pan	282	52623.97	615.478731639
all_Core	283	348.55	219.842870023
all_Pan	283	52694.53	609.437633479
all_Core	284	347.65	219.28289377
all_Pan	284	52774.75	596.379818153
all_Core	285	347.24	218.901627221
all_Pan	285	52844.32	601.674079216
all_Core	286	346.78	218.663969597
all_Pan	286	52922.09	605.883802309
all_Core	287	346.57	218.513169168
all_Pan	287	52981.05	612.175536509
all_Core	288	346.06	218.257179492
all_Pan	288	53049.17	612.474228927
all_Core	289	345.42	217.933117263
all_Pan	289	53121.48	622.503276779
all_Core	290	345.06	217.958886949
all_Pan	290	53183.74	623.756276441
all_Core	291	344.71	217.731912911
all_Pan	291	53254.17	625.414391504
all_Core	292	344.15	217.429822012
all_Pan	292	53328.83	632.465573055
all_Core	293	343.9	217.181698124
all_Pan	293	53385.49	629.882806481
all_Core	294	343.01	216.670371532
all_Pan	294	53448.97	623.681688925
all_Core	295	342.82	216.529876922
all_Pan	295	53512.65	624.688360305
all_Core	296	342.25	216.455139694
all_Pan	296	53572.25	628.095540105
all_Core	297	341.49	215.744918596
all_Pan	297	53632.15	626.876469091
all_Core	298	340.98	215.710592229
all_Pan	298	53698.74	628.380006366
all_Core	299	340.64	215.569224149
all_Pan	299	53763.13	629.128677696
all_Core	300	340.07	214.908271362
all_Pan	300	53827.79	632.972405323
all_Core	301	334.67	213.180114223
all_Pan	301	53896.84	622.878217953
all_Core	302	329.39	210.990421347
all_Pan	302	53961.76	618.614760897
all_Core	303	328.97	211.130028892
all_Pan	303	54019.96	614.70971881
all_Core	304	323.5	208.793414647
all_Pan	304	54090.89	607.142255077
all_Core	305	323.1	208.653804183
all_Pan	305	54156.33	618.552714892
all_Core	306	322.54	208.37050751
all_Pan	306	54212.8	613.735757472
all_Core	307	317.33	205.799808309
all_Pan	307	54280.67	615.176821004
all_Core	308	316.79	205.876967872
all_Pan	308	54346.86	609.029835394
all_Core	309	316.4	205.685828389
all_Pan	309	54419.79	615.483213337
all_Core	310	316.04	205.736964107
all_Pan	310	54483.85	618.900094926
all_Core	311	315.86	205.617558589
all_Pan	311	54548.58	621.460910758
all_Core	312	315.08	204.965737625
all_Pan	312	54612.08	618.331524023
all_Core	313	313.92	203.755376862
all_Pan	313	54678.47	600.448656506
all_Core	314	313.56	203.70818933
all_Pan	314	54747.26	597.797517894
all_Core	315	313.01	203.253019412
all_Pan	315	54808.89	600.334238487
all_Core	316	312.76	203.032958901
all_Pan	316	54875.81	598.447853952
all_Core	317	312.49	202.845137728
all_Pan	317	54952.55	599.373228882
all_Core	318	307.34	200.647413141
all_Pan	318	55018.42	604.287004328
all_Core	319	306.1	199.390947638
all_Pan	319	55076.92	602.084955467
all_Core	320	305.51	198.941121692
all_Pan	320	55130.81	607.09456751
all_Core	321	304.36	197.830205985
all_Pan	321	55191.85	609.074221668
all_Core	322	304.1	197.740764639
all_Pan	322	55246.03	609.120783671
all_Core	323	299.39	195.568703785
all_Pan	323	55310.17	605.61704162
all_Core	324	298.89	195.268988577
all_Pan	324	55370.63	606.280556426
all_Core	325	298.4	195.106637509
all_Pan	325	55434.14	608.179085796
all_Core	326	297.84	194.657839298
all_Pan	326	55496.46	611.920508236
all_Core	327	297.46	194.454849258
all_Pan	327	55557.77	605.254208659
all_Core	328	297.13	194.132617301
all_Pan	328	55613.6	605.04685769
all_Core	329	292.31	191.919290067
all_Pan	329	55677.13	609.794484314
all_Core	330	286.7	187.990398691
all_Pan	330	55749.54	596.868568782
all_Core	331	286.29	187.7443099
all_Pan	331	55804.16	603.558691761
all_Core	332	285.95	187.688218863
all_Pan	332	55865.11	597.36569863
all_Core	333	285.47	187.20493877
all_Pan	333	55917.23	596.638531357
all_Core	334	284.84	186.718061258
all_Pan	334	55979.91	595.73732626
all_Core	335	283.89	185.502662784
all_Pan	335	56040.32	591.689105528
all_Core	336	283.48	185.228965337
all_Pan	336	56093.84	586.097239714
all_Core	337	283.12	184.999582702
all_Pan	337	56163.93	577.210780478
all_Core	338	282.79	184.957200184
all_Pan	338	56225.37	574.154363477
all_Core	339	282.47	184.65776209
all_Pan	339	56282.47	569.552955484
all_Core	340	281.87	184.32789561
all_Pan	340	56353.47	566.299734328
all_Core	341	281.38	184.149383925
all_Pan	341	56412.33	564.442185791
all_Core	342	280.96	184.029069443
all_Pan	342	56479.31	560.025029708
all_Core	343	280.23	183.220897007
all_Pan	343	56548.64	567.327004822
all_Core	344	279.75	183.165574003
all_Pan	344	56613.76	570.650543152
all_Core	345	279.21	182.535546949
all_Pan	345	56669.11	573.79536239
all_Core	346	278.82	182.445958026
all_Pan	346	56731.95	576.293247835
all_Core	347	277.93	181.988365287
all_Pan	347	56796.72	566.602737021
all_Core	348	276.66	180.549229852
all_Pan	348	56866.81	570.361125867
all_Core	349	276.09	180.393685865
all_Pan	349	56925.86	564.020549626
all_Core	350	275.41	179.753169374
all_Pan	350	56985.09	562.089692042
all_Core	351	274.89	179.620260271
all_Pan	351	57047.05	555.480105404
all_Core	352	274.55	179.412450794
all_Pan	352	57103.5	552.670435251
all_Core	353	274.18	179.497709178
all_Pan	353	57159.29	556.197685989
all_Core	354	273.72	179.135930511
all_Pan	354	57215.69	566.801441335
all_Core	355	273.46	178.980636942
all_Pan	355	57277.67	574.499800783
all_Core	356	272.08	178.129990737
all_Pan	356	57338.6	577.144834509
all_Core	357	267.86	176.348066051
all_Pan	357	57405.44	572.279972042
all_Core	358	266.96	175.702528155
all_Pan	358	57462.49	567.540685678
all_Core	359	263.07	174.476488674
all_Pan	359	57522.78	563.641704986
all_Core	360	262.35	173.760603993
all_Pan	360	57577.34	555.185630578
all_Core	361	261.61	172.950275802
all_Pan	361	57631.7	552.158229134
all_Core	362	261.18	172.63593948
all_Pan	362	57687.17	549.125068723
all_Core	363	260.8	172.323881108
all_Pan	363	57743.41	545.224707712
all_Core	364	260.35	172.374439811
all_Pan	364	57803.74	548.536682821
all_Core	365	259.89	172.039698616
all_Pan	365	57862.01	545.39995407
all_Core	366	259.32	171.46246703
all_Pan	366	57911.83	549.78726895
all_Core	367	258.89	171.624525928
all_Pan	367	57970.57	553.52651707
all_Core	368	258.53	171.635803666
all_Pan	368	58032.39	556.935990846
all_Core	369	258.17	171.513559522
all_Pan	369	58085.08	554.630718226
all_Core	370	257.96	171.54159379
all_Pan	370	58141.65	551.858666236
all_Core	371	257.24	170.683163786
all_Pan	371	58204.76	541.259403983
all_Core	372	256.74	170.300007046
all_Pan	372	58267.79	548.634437399
all_Core	373	256.32	169.774195919
all_Pan	373	58320.33	548.632045273
all_Core	374	255.79	169.508837233
all_Pan	374	58371.46	546.431064637
all_Core	375	254.97	168.748952886
all_Pan	375	58425.87	549.889909982
all_Core	376	254.55	168.326728418
all_Pan	376	58482.61	545.999979762
all_Core	377	254.17	168.0286913
all_Pan	377	58531.76	548.726600777
all_Core	378	253.34	167.182189243
all_Pan	378	58590.23	551.299770633
all_Core	379	253.15	167.121415444
all_Pan	379	58641.32	550.986440487
all_Core	380	252.75	167.02744535
all_Pan	380	58699.38	542.247467122
all_Core	381	252.47	166.963975456
all_Pan	381	58749.06	544.312811167
all_Core	382	252.04	166.562415929
all_Pan	382	58815.89	532.871145682
all_Core	383	248.26	165.469128238
all_Pan	383	58871.97	522.496688123
all_Core	384	247.86	164.946780508
